sample_ID,country,site,material,S,C,N,ex_Ca,ex_Mg,ex_K,ex_Al,ex_Na,ex_Fe,ex_Mn,pH_BaCl2,CEC_eff,BS_eff,pH,P_resin,Fe_tot,Si_tot,Al_tot,P_tot,K_tot,Ca_tot,Mn_tot,Zn_tot,Cu_tot,Zn_DTPA,Cu_DTPA,Fe_DTPA,Mn_DTPA,sand,clay,silt,site_comb
CI_sb_YAMS_0014,CI,sb_icraf,soil,150,9.9,1.0390000000000001,756,160,37.7,5.54,22.1,2.34,19.1,3.38,5.344024479099899,98.83558747939274,NA,3.3623770782510527,17.740000000000002,241.5,63.54,555.7,29.729999999999997,2.7239999999999998,725,23,14.4,0.474,0.704,38,21.8,NA,NA,NA,sb
CI_tb_01_soil_cal,CI,tb,soil,161.33333333333331,14.558666666666667,1.0753333333333333,1340,133,339,0,31.3,3.12,25,2.96,8.786228333511765,99.98128073580855,5.829666666666666,7.739371612650995,18.84,267.5,61.050000000000004,702,3.448,1.813,581,49.4,12.1,11.473333333333333,0.5466666666666666,33.733333333333334,24.333333333333336,70.97,14.54,14.5,tb
CI_tb_02_soil_cal,CI,tb,soil,195,24.558,1.355,2170,317,415,0,16.3,1.58,9.21,2.44,14.575182372761779,99.96263394390364,6.64,NA,18.66,229.1,98.21,1440,10.29,3.849,529,71.6,13.3,NA,0.752,52,13.42,57.97,24.54,17.5,tb
CI_tb_03_soil_cal,CI,tb,soil,101,13.036000000000001,0.8119999999999999,749.3333333333334,163.66666666666666,162.66666666666666,0,10.126666666666667,1.59,7.736666666666667,3.37,5.546885094063093,99.98846434949793,6.306,20.176736674793702,9.42,261.70000000000005,48.8,856,19.38,1.925,367.40000000000003,29.7,2.8,8.34,0.252,28.6,6.52,83.82,8.54,7.64,tb
CI_tb_04_soil_cal,CI,tb,soil,138.99999999999997,16.054,1.35,2130,187,303,0,11,1.49,1.56,4.64,12.990907902071257,99.99973548411666,7.961,16.230448519039257,14,248.5,57.56999999999999,781,5.514,4.8580000000000005,359.90000000000003,34.5,6.6,8.06,0.232,6.32,4.54,77.97,12.46,9.57,tb
CI_tb_05_soil_cal,CI,tb,soil,94.99999999999999,12.648,0.748,612,233,130,0,13.7,1.89,7.61,3.66,5.363762696680002,99.99388182769913,5.887,6.199624249359052,10.37,244.60000000000002,60.739999999999995,601.1,1.6239999999999999,1.315,157.89999999999998,36.6,7.7,8.76,0.412,63.6,7.3,77.97,13.46,8.57,tb
CI_tb_06_soil_cal,CI,tb,soil,117,12.21,0.9760000000000001,1300,153,205,0,11.4,1.97,3.04,3.91,8.320444685849147,99.99778208590297,7.61,24.240819961995022,8.203,246.20000000000002,54.290000000000006,674,18.77,3.269,316.90000000000003,30.4,3.9,4.6,0.228,8.1,4.3,81.97,9.66,8.37,tb
CI_tb_07_soil_cal,CI,tb,soil,100,11.63,0.725,887,156,327,0,13.4,2.01,9.17,3.59,6.605086752400943,99.99416269033446,6.24,8.456862880052311,17.9,233.4,77.96000000000001,668,1.915,1.4260000000000002,265.40000000000003,31.4,7.9,5.18,0.426,51.6,8.88,75.75,16.54,7.71,tb
CI_tb_08_soil_cal,CI,tb,soil,161,23.734,1.608,1900,366,446,0,13,1.83,5.05,3.59,13.690892230265549,99.99718382585348,6.606,NA,16.48,220.3,99.42999999999999,1631,6.75,3.341,323.29999999999995,36.1,10.2,6.14,0.496,122.2,7.96,67.61,21.54,10.86,tb
CI_tb_09_soil_cal,CI,tb,soil,93,7.45,0.459,388,NA,50.7,0,12.9,2.04,4.13,3.42,NA,NA,6.12,10.137903107961066,3.899,257.7,36.18,600,13.45,1.255,111.9,29.5,1.4,11.06,0.138,23.4,2.52,91.61,4.54,3.86,tb
CI_tb_10_soil_cal,CI,tb,soil,177,23.874,1.914,2120,318,519,0,14.4,2.36,4.06,3.65,14.586521118821311,99.99769781863647,7.217,33.12905696341355,19.22,230.6,80.02000000000001,1145,5.276,4.561,530.4,34.4,12.3,3.98,0.432,13.06,7.58,69.61,15.54,14.86,tb
CI_tb_11_soil_cal,CI,tb,soil,83.99999999999999,11.158999999999999,0.7330000000000001,844,127,157,0,11.9,1.66,8.08,3.37,5.71079604518926,99.98879544509838,6.471,14.197581562632218,7.595,262.2,53.239999999999995,714.9999999999999,18.09,2.122,335.09999999999997,22.4,2.7,5.68,0.234,20.6,8.7,81.68,7.54,10.78,tb
CI_tb_12_soil_cal,CI,tb,soil,95.99999999999999,8.031,0.5630000000000001,601,77,67.6,0,12.6,1.95,9.07,3.41,3.861055011697351,99.98488579635038,5.953,7.8488447872395355,5.971,266.8,37.440000000000005,601,11.28,1.306,186.7,14.6,2.4,2.58,0.1856,24.6,6.1,83.61,6.54,9.86,tb
CI_tb_13_soil_cal,CI,tb,soil,182,16.947000000000003,1.649,2140,220,0,0,0.444,1.82,6.99,3.54,12.491866579948578,99.99653690885425,7.075,20.656694447624776,16,244.20000000000002,85.88,793,5.955,2.425,478.70000000000005,24.1,11.3,4.36,0.664,19.06,15.9,67.61,18.54,13.86,tb
CI_tb_14_soil_cal,CI,tb,soil,87,7.532,0.5469999999999999,405,102,132,0,10.7,1.52,8.55,3.49,3.2450329479575712,99.98504204754839,6.265,10.284660588175322,8.235,260.7,53.67,651.9999999999999,11.17,0.8891,221.6,23.8,3.6,4.92,0.208,21.6,6.3,82.75,8.54,8.71,tb
CI_tb_15_soil_cal,CI,tb,soil,109,15.834,1.071,1440,177,180,0,15.1,2.13,4.65,3.51,9.16900363904844,99.99494444180496,7.35,13.319531317770062,5.979,285.59999999999997,35.019999999999996,654,11.579999999999998,2.965,240.49999999999997,22.2,2.7,3.98,0.1856,12.64,6.18,77.61,6.54,15.86,tb
CI_tb_16_soil_cal,CI,tb,soil,72.00000000000001,7.085,0.453,494,87.4,64,0,8.82,1.43,4.09,3.64,3.3867858293219344,99.9898537975168,7.274,14.197581562632218,6.209,289.8,30.25,709,6.651,1.159,162,15,2.3,NA,NA,NA,NA,85.68,6.75,7.57,tb
CI_tb_17_soil_cal,CI,tb,soil,242,24.687,2.481,2040,337,327,0,11.5,1.85,7.05,3.84,13.83983914706324,99.99843339244548,6.839,12.73951298448652,20.23,228.70000000000002,74.88000000000001,909,4.258,3.771,687.6,26.2,14.6,NA,NA,NA,NA,71.18,15.82,13,tb
CI_tb_18_soil_cal,CI,tb,soil,136.99999999999997,18.226,1.2640000000000002,1150,316,21,0,1.32,1.83,13,3.52,8.399003135230778,99.99460658901103,6.207,10.088030395581328,14.96,251.4,55.86,918.0000000000001,4.178,2.205,415.70000000000005,28.6,7.4,NA,0.288,52.6,13.24,75.46,12.82,11.71,tb
CI_tb_19_soil_cal,CI,tb,soil,212,20.617,2.127,1540,201,370,0,13.8,1.98,5.87,3.27,10.346166496918569,99.99221404667327,6.413,11.445378840778986,16.05,232.2,86.41999999999999,694,3.215,2.373,279,25.6,10.7,NA,0.448,47.2,6.56,67.68,23.82,8.5,tb
CI_tb_20_soil_cal,CI,tb,soil,112.33333333333333,10.871333333333332,0.8360000000000001,375,108,163,41.3,10.6,2.51,11.5,3.36,3.6829488489949775,87.51316265400337,5.323666666666666,5.180593673107697,13.11,233.2,73.94999999999999,596.6,2.928,0.7313000000000001,255.4,20.7,9.4,2.067,0.7849999999999999,298,12.7,75.54,16.82,7.64,tb
