sample_ID,country,site,material,S,C,N,ex_Ca,ex_Mg,ex_K,ex_Al,ex_Na,ex_Fe,ex_Mn,pH_BaCl2,CEC_eff,BS_eff,pH,P_resin,Fe_tot,Si_tot,Al_tot,P_tot,K_tot,Ca_tot,Mn_tot,Zn_tot,Cu_tot,Zn_DTPA,Cu_DTPA,Fe_DTPA,Mn_DTPA,sand,clay,silt,site_comb
BF_lo_16_soil_cal,BF,lo,soil,60.00000000000001,4.666,0.351,NA,44.9,85.4,0,11,1.68,8.9,3.4,NA,NA,5.952,1.4718889447490442,9.006,293.4,39.58,439.70000000000005,13.06,0.7457,235.1,14.6,2.8,0.914,0.1132,7.32,6.8,64.75,11.32,23.93,lo
BF_lo_17_soil_cal,BF,lo,soil,43,3.1369999999999996,0.21999999999999997,194,27.6,79,4.87,13.2,1.86,5.9,3.41,1.5094333738050563,96.37381869278826,5.934,1.0575423284064904,6.579000000000001,298.4,36.51,358.2,4.104,0.4555,164.20000000000002,13.3,2,1.288,0.0938,5.86,3.36,74.75,8.65,16.6,lo
BF_lo_18_soil_cal,BF,lo,soil,50,3.5199999999999996,0.275,448,29.1,73.6,5.05,12.4,1.77,9.46,3.47,2.7739397919790347,97.95738277716127,5.703,0.8094888328716212,8.121,295.2,36.49,406.5,8.608,0.501,203.5,12.2,2,1.08,0.098,10.4,7.5,65.35,10.65,24,lo
BF_lo_19_soil_cal,BF,lo,soil,60.00000000000001,3.4189999999999996,0.271,253,26.2,114,10.8,10.1,1.9,9.51,3.17,1.9347417903608335,93.7406076693148,5.228,2.7872126486226065,8.520999999999999,274.6,47.76,400,22.11,0.5483,153.4,13.1,0.5,1.054,0.0956,8.5,6.44,75.97,9.1,14.93,lo
BF_lo_20_soil_cal,BF,lo,soil,70,6.5263333333333335,0.484,593,62.4,110,0,12.6,2.19,7.25,3.41,3.8094384157614063,99.98468100402734,6.464,2.3983720340003787,10.16,275.79999999999995,47.35,453.5,16.73,1.409,194.49999999999997,16.8,2.8,1.086,0.13699999999999998,8.586666666666666,6.266666666666667,64.11,12.1,23.78,lo
BF_mo_01_soil_cal,BF,mo,soil,107.33333333333336,14.507333333333335,1.0053333333333334,768,139,104,11.8,17.5,2.28,14,3.59,5.450036320489119,97.58544981950025,5.639333333333333,4.396208295335272,10.41,353.9,32.83,421.4,2.886,0.9909999999999999,221.4,18.3,9.9,1.894,0.9700000000000001,173.73333333333335,10.193333333333333,34.44,21.1,44.46,mo
BF_mo_02_soil_cal,BF,mo,soil,85,5.638999999999999,0.40800000000000003,338,51.9,74.2,5.77,13.3,2.31,8.73,3.38,2.4261982406569005,97.32981670597736,5.935,2.462004198935883,14.75,261.4,42.06,470.2,1.948,0.8159,216.8,15.4,9.7,1.576,0.404,30.6,5.68,76.04,10.1,13.86,mo
BF_mo_03_soil_cal,BF,mo,soil,62,5.2829999999999995,0.388,418,47.6,71.2,0,10,1.84,6.43,3.4,2.703822219699365,99.97791420044263,6.681,2.2352403741438933,4.506,340.90000000000003,15.79,310.6,0.9273,0.6999,111.69999999999999,11,1.9,1.386,0.1496,6.62,4.68,82.04,8.1,9.86,mo
BF_mo_04_soil_cal,BF,mo,soil,126,16.446,1.1360000000000001,911.3333333333334,104.66666666666667,120.66666666666667,46.4,34.36666666666667,2.2266666666666666,24.96666666666667,3.6866666666666665,6.383433111525784,91.91271619821065,5.074,5.866093227437926,29.62,262.6,69.86,610,2.504,1.3980000000000001,362.5,35.9,29.2,1.448,1.446,137,6.7,47.11,26.1,26.78,mo
BF_mo_05_soil_cal,BF,mo,soil,54.99999999999999,4.577,0.318,343,40.2,55.5,0,11.2,1.83,8.49,3.18,2.234117259592409,99.95564063758263,6.295,1.7681820723712514,7.527,293.2,30.57,375.5,1.3969999999999998,0.7349,181.6,13.6,3.4,1.606,0.1968,9.78,5.78,73.97,9.1,16.93,mo
BF_mo_06_soil_cal,BF,mo,soil,54.00000000000001,3.3760000000000003,0.246,199,28.1,58.7,0,13.5,1.77,6.97,3.35,1.4338184337988957,99.95326985813321,6.339,1.2004353626381843,5.595,292.7,22.46,318.29999999999995,1.21,0.5012,146.8,12,2.5,2,0.212,7.72,4.58,82.04,7.1,10.86,mo
BF_mo_07_soil_cal,BF,mo,soil,94.99999999999999,11.443000000000001,0.819,805,159,160,0,13.8,1.74,10.9,3.6,5.795170262858675,99.99349832795869,6.561,4.315758512999639,12.91,319.3,43.230000000000004,425.7,2.172,1.225,226.20000000000002,18.7,9.6,2.08,0.5,29.2,10.04,29.82,16.1,54.07,mo
BF_mo_08_soil_cal,BF,mo,soil,64.99999999999999,8.379,0.627,326,58.1,92,29.2,18.9,3.09,11.4,3.43,2.7476766786045093,88.16300850851964,5.236,3.276615491164376,9.321,336.4,31.25,400.79999999999995,2.7039999999999997,0.5308999999999999,137.9,15.8,6.8,1.958,0.734,216,7.48,79.97,8.1,11.93,mo
BF_mo_09_soil_cal,BF,mo,soil,51.00000000000001,5.399000000000001,0.372,569,55.6,68.6,0,11.1,1.77,5.52,3.6,3.521097265800152,99.989299274167,7.121,2.4931725477093436,7.9559999999999995,284.7,24.540000000000003,425.90000000000003,1.381,1.289,192.3,11.3,3.6,1.118,0.1528,3.58,4.76,42.82,14.1,43.07,mo
BF_mo_10_soil_cal,BF,mo,soil,41,2.404,0.18100000000000002,97.7,17.5,38.9,9.22,8.91,1.36,6.72,3.42,0.8728928010706658,88.18976746758001,5.621,1.3061165216997714,7.079,247.3,20.16,318.29999999999995,1.248,0.3259,111.3,9.5,2.8,0.686,0.095,8.74,4.3,86.3,6.1,7.6,mo
BF_mo_11_soil_cal,BF,mo,soil,51.00000000000001,5.003,0.318,504,53.1,68,0,10.9,1.65,7.77,3.24,3.174239711743484,99.9728073496525,6.396,2.3613502345984556,7.252,279,21.74,571,2.548,1.631,184.6,11.3,2.6,1.924,0.168,10.5,6.56,73.1,10.1,16.8,mo
