sample_ID,country,site,category,material,N_perc,C_perc,S_perc
BF_mo_07_soil_cal,BF,mo,ref,soil,0.0819,1.1443,0.0095
BF_mo_08_soil_cal,BF,mo,ref,soil,0.0627,0.8379,0.0065
BF_mo_01_soil_cal,BF,mo,ref,soil,0.1006,1.4545,0.0105
BF_mo_09_soil_cal,BF,mo,ref,soil,0.0372,0.5399,0.0051
BF_mo_10_soil_cal,BF,mo,ref,soil,0.0181,0.2404,0.0041
BF_mo_11_soil_cal,BF,mo,ref,soil,0.0318,0.5003,0.0051
BF_mo_12_soil_cal,BF,mo,ref,soil,0.0477,0.5909,0.0059
BF_mo_13_soil_cal,BF,mo,ref,soil,0.1239,1.8633,0.0126
BF_mo_14_soil_cal,BF,mo,ref,soil,0.0369,0.5305,0.0072
BF_mo_15_soil_cal,BF,mo,ref,soil,0.0352,0.4862,0.0052
BF_mo_16_soil_cal,BF,mo,ref,soil,0.0723,0.9191,0.0079
BF_mo_01_soil_cal,BF,mo,ref,soil,0.1019,1.451,0.0098
BF_mo_17_soil_cal,BF,mo,ref,soil,0.0342,0.4734,0.0055
BF_mo_18_soil_cal,BF,mo,ref,soil,0.0357,0.4812,0.0048
BF_mo_19_soil_cal,BF,mo,ref,soil,0.0531,0.7099,0.0076
BF_mo_20_soil_cal,BF,mo,ref,soil,0.0479,0.7117,0.0086
BF_mo_20_soil_cal,BF,mo,ref,soil,0.0482,0.7366,0.0065
BF_mo_20_soil_cal,BF,mo,ref,soil,0.0471,0.7038,0.0067
CI_sb_YAMS_0001,CI,sb_icraf,comp,soil,0.0845,0.8592,0.0128
CI_sb_YAMS_0002,CI,sb_icraf,comp,soil,0.0518,0.5175,0.0083
CI_sb_YAMS_0003,CI,sb_icraf,comp,soil,0.0491,0.5562,0.0077
CI_sb_YAMS_0004,CI,sb_icraf,comp,soil,0.113,1.2088,0.0152
CI_sb_YAMS_0005,CI,sb_icraf,comp,soil,0.1002,0.9512,0.0133
CI_sb_YAMS_0006,CI,sb_icraf,comp,soil,0.1011,1.0011,0.0153
CI_sb_YAMS_0007,CI,sb_icraf,comp,soil,0.1283,1.4711,0.0194
CI_sb_YAMS_0008,CI,sb_icraf,comp,soil,0.1271,1.1439,0.0176
CI_sb_YAMS_0009,CI,sb_icraf,comp,soil,0.1048,1.0064,0.0128
CI_sb_YAMS_0010,CI,sb_icraf,comp,soil,0.1271,1.3035,0.016
CI_sb_YAMS_0011,CI,sb_icraf,comp,soil,0.1385,1.8286,0.0181
CI_sb_YAMS_0012,CI,sb_icraf,comp,soil,0.0967,0.9009,0.0186
CI_sb_YAMS_0013,CI,sb_icraf,comp,soil,0.0934,0.9584,0.0157
CI_sb_YAMS_0014,CI,sb_icraf,comp,soil,0.1039,0.99,0.015
